# FEAT_ID     Score                   Feature Expression
229           0.173520494197609398    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) / time)
230           0.173597716339538022    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) / (av_delta_M1_M2_subsurf * time))
231           0.173779495639610565    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (av_BE_H_surf / time))
232           0.173936645757795022    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (av_BE_H_subsurf / time))
233           0.174055739979020879    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (av_bulk_int_dist / time))
234           0.174260771292555239    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (av_mu_C_critical_surf / time))
235           0.174329435276504102    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) / (surface_area * time))
236           0.174536998299779422    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (av_E_coh / time))
237           0.174562975186320385    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (std_dev / time))
238           0.174644138053754727    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) / (av_E_def_subsurf * time))
239           0.17472409314338469     ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (av_IP / time))
240           0.174971476663113384    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (particle_diameter / time))
241           0.175473848973534297    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (av_PE / time))
242           0.175754847632798361    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (av_B_0 / time))
243           0.176108762035656397    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) / (total_metal_loading * time))
244           0.177412267029870285    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) / (time^6))
245           0.178211710024391623    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (av_EA / time))
246           0.187578935930214907    ((ln(-1.0*av_E_b_C_subsurf+6.925000e+00)) / (time^2))
247           0.189576895615231833    ((ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)) / (time^2))
248           0.194589753694540901    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) / (time^3))
249           0.201631421005281447    ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) / (time^2))
#-----------------------------------------------------------------------
